trial,ID,filename,Category,Valence,val_bin,condition
1,Objects_184_v,Objects_184_v.jpg,Objects,4.18,5-Apr,FEEL
2,People_079_h,People_079_h.jpg,People,4.08,5-Apr,FEEL
3,People_164_h,People_164_h.jpg,People,4.84,5-Apr,FEEL
4,Faces_119_v,Faces_119_v.jpg,Faces,5.58,6-May,TONE
5,People_102_h,People_102_h.jpg,People,5.88,6-May,FEEL
6,Animals_036_h,Animals_036_h.jpg,Animals,4.15,5-Apr,FEEL
7,Faces_340_h,Faces_340_h.jpg,Faces,7.29,8-Jul,TONE
8,Objects_156_v,Objects_156_v.jpg,Objects,4.06,5-Apr,FEEL
9,Objects_081_h,Objects_081_h.jpg,Objects,7.16,8-Jul,FEEL
10,Landscapes_095_h,Landscapes_095_h.jpg,Landscapes,6.46,7-Jun,TONE
11,People_215_h,People_215_h.jpg,People,2.59,3-Feb,TONE
12,Animals_100_h,Animals_100_h.jpg,Animals,7.42,8-Jul,FEEL
13,Landscapes_011_h,Landscapes_011_h.jpg,Landscapes,3.52,4-Mar,TONE
14,Animals_048_h,Animals_048_h.jpg,Animals,2.85,3-Feb,TONE
15,Animals_195_h,Animals_195_h.jpg,Animals,5.83,6-May,TONE
16,Faces_279_h,Faces_279_h.jpg,Faces,3.94,4-Mar,FEEL
17,Animals_110_h,Animals_110_h.jpg,Animals,4.3,5-Apr,TONE
18,Animals_087_h,Animals_087_h.jpg,Animals,5.67,6-May,FEEL
19,People_154_h,People_154_h.jpg,People,7.59,8-Jul,FEEL
20,People_136_h,People_136_h.jpg,People,2.6,3-Feb,TONE
21,Landscapes_057_h,Landscapes_057_h.jpg,Landscapes,5.48,6-May,FEEL
22,Faces_366_h,Faces_366_h.jpg,Faces,2.11,3-Feb,FEEL
23,People_120_h,People_120_h.jpg,People,3.36,4-Mar,TONE
24,Faces_353_h,Faces_353_h.jpg,Faces,7.42,8-Jul,FEEL
25,Objects_086_h,Objects_086_h.jpg,Objects,7.15,8-Jul,FEEL
26,People_156_h,People_156_h.jpg,People,3.96,4-Mar,TONE
27,People_092_v,People_092_v.jpg,People,6.47,7-Jun,FEEL
28,People_173_h,People_173_h.jpg,People,6.98,7-Jun,TONE
29,Landscapes_146_h,Landscapes_146_h.jpg,Landscapes,7.56,8-Jul,TONE
30,Faces_309_h,Faces_309_h.jpg,Faces,5.25,6-May,FEEL
31,Landscapes_094_h,Landscapes_094_h.jpg,Landscapes,7.06,8-Jul,FEEL
32,Objects_180_v,Objects_180_v.jpg,Objects,7.17,8-Jul,FEEL
33,Objects_285_h,Objects_285_h.jpg,Objects,2.73,3-Feb,FEEL
34,Objects_212_h,Objects_212_h.jpg,Objects,3.76,4-Mar,TONE
35,Objects_254_h,Objects_254_h.jpg,Objects,7,7-Jun,FEEL
36,Objects_098_v,Objects_098_v.jpg,Objects,6.79,7-Jun,TONE
37,Animals_057_h,Animals_057_h.jpg,Animals,2.92,3-Feb,TONE
38,People_195_h,People_195_h.jpg,People,7.09,8-Jul,TONE
39,Animals_032_h,Animals_032_h.jpg,Animals,2.96,3-Feb,TONE
40,Faces_222_h,Faces_222_h.jpg,Faces,5.67,6-May,TONE
41,Objects_006_h,Objects_006_h.jpg,Objects,3.37,4-Mar,FEEL
42,Faces_281_h,Faces_281_h.jpg,Faces,4.5,5-Apr,TONE
43,Landscapes_019_h,Landscapes_019_h.jpg,Landscapes,5.18,6-May,FEEL
44,Objects_307_v,Objects_307_v.jpg,Objects,5.07,6-May,TONE
45,Faces_363_v,Faces_363_v.jpg,Faces,2.77,3-Feb,TONE
46,People_234_h,People_234_h.jpg,People,4.06,5-Apr,TONE
47,People_008_h,People_008_h.jpg,People,2.72,3-Feb,FEEL
48,Animals_047_h,Animals_047_h.jpg,Animals,4.94,5-Apr,FEEL
49,Faces_323_h,Faces_323_h.jpg,Faces,6.8,7-Jun,TONE
50,Landscapes_001_h,Landscapes_001_h.jpg,Landscapes,3.64,4-Mar,FEEL
51,Landscapes_181_h,Landscapes_181_h.jpg,Landscapes,4.61,5-Apr,FEEL
52,Landscapes_158_h,Landscapes_158_h.jpg,Landscapes,7.39,8-Jul,TONE
53,Landscapes_127_h,Landscapes_127_h.jpg,Landscapes,6.95,7-Jun,FEEL
54,People_113_h,People_113_h.jpg,People,8.05,9-Aug,TONE
55,Faces_064_h,Faces_064_h.jpg,Faces,6.04,7-Jun,FEEL
56,People_078_v,People_078_v.jpg,People,4.98,5-Apr,TONE
